ateco, descrizione,cardinalita
82.99.99,"Altri servizi di sostegno alle imprese nca",8
63.11.11,"Elaborazione elettronica di dati contabili (esclusi i Centri di assistenza fiscale - Caf)",7
26.20,"Fabbricazione di computer e unità periferiche",6
53.10,"Attività postali con obbligo di servizio universale",6
62.02,"Consulenza nel settore delle tecnologie dell'informatica",5
71.12.20,"Servizi di progettazione di ingegneria integrata",5
71.12.10,"Attivit degli studi di ingegneria",5
85.42.00,"Istruzione universitaria e post-universitaria; accademie e conservatori",5
74.90.21,"Consulenza sulla sicurezza ed igiene dei posti di lavoro",4
62.09.01,"Configurazione di personal computer",4
28.99.99,"Fabbricazione di altre macchine ed attrezzature per impieghi speciali nca (incluse parti e accessori)",4
55.30.00,"Aree di campeggio e aree attrezzate per camper e roulotte",4
86.90.21,Fisioterapia,4
28.12,"Fabbricazione di apparecchiature fluidodinamiche",3
63.99,"Altre attivit dei servizi di informazione nca",3
10.85.09,"Produzione di pasti e piatti pronti di altri prodotti alimentari",3
72.20.00,"Ricerca e sviluppo sperimentale nel campo delle scienze sociali e umanistiche",3
95.11.00,"Riparazione e manutenzione di computer e periferiche",3
58.29,"Edizione di altri software",3
84.12.20,"Regolamentazione dell'attivit degli organismi preposti all'istruzione",3
58.19.00,"Altre attivit editoriali",3
74.90.93,"Altre attivit di consulenza tecnica nca",2
31.09.30,"Fabbricazione di poltrone e divani",2
94,"ATTIVIT DI ORGANIZZAZIONI ASSOCIATIVE",2
74.90.99,"Altre attivit professionali nca",2
47.71.10,"Commercio al dettaglio di confezioni per adulti",2
62.03,"Gestione di strutture informatizzate",2
47.41.00,"Commercio al dettaglio di computer, unit periferiche, software e attrezzature per ufficio in esercizi specializzati",2
45.20.10,"Riparazioni meccaniche di autoveicoli",2
10.41,"Produzione di oli e grassi",2
30.12.00,"Costruzione di imbarcazioni da diporto e sportive",2
14.1,"CONFEZIONE DI ARTICOLI DI ABBIGLIAMENTO (ESCLUSO ABBIGLIAMENTO IN PELLICCIA)",2
43.21,"Installazione di impianti elettrici",2
26.40.01,"Fabbricazione di apparecchi per la riproduzione e registrazione del suono e delle immagini",2
82.3,"ORGANIZZAZIONE DI CONVEGNI E FIERE",2
64.92.09,"Altre attivit creditizie nca",2
69.20.14,"Attivit svolta dai Centri di assistenza fiscale (Caf)",2
69.20.13,"Servizi forniti da revisori contabili, periti, consulenti ed altri soggetti che svolgono attivit in materia di amministrazione, contabilit e tributi",2
71.12.30,"Attivit tecniche svolte da geometri",2
46.51,"Commercio all'ingrosso di computer, apparecchiature informatiche periferiche e di software",2
01.11.40,"Coltivazioni miste di cereali, legumi da granella e semi oleosi",2
31.09.10,"Fabbricazione di mobili per arredo domestico",2
22.22.00,"Fabbricazione di imballaggi in materie plastiche",2
46.73.29,"Commercio all'ingrosso di altri materiali da costruzione",2
63.11.30,"Hosting e fornitura di servizi applicativi (ASP)",2
62,"PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVIT CONNESSE",2
46.39.10,"Commercio all'ingrosso non specializzato di prodotti surgelati",2
46.46.30,"Commercio all'ingrosso di articoli medicali ed ortopedici",2
25.62.00,"Lavori di meccanica generale",2
33.12,"Riparazione e manutenzione di macchinari",2
27.12.00,"Fabbricazione di apparecchiature per le reti di distribuzione e il controllo dell'elettricit",2
46.31,"Commercio all'ingrosso di frutta e ortaggi freschi o conservati",2
31.09.20,"Fabbricazione di sedie e sedili (esclusi quelli per aeromobili, autoveicoli, navi, treni, ufficio e negozi)",2
96.09.09,"Altre attivit di servizi per la persona nca",2
29.32.09,"Fabbricazione di altre parti ed accessori per autoveicoli e loro motori nca",2
13.1,"PREPARAZIONE E FILATURA DI FIBRE TESSILI",2
20.59.60,"Fabbricazione di prodotti ausiliari per le industrie tessili e del cuoio",2
10.61.40,"Altre lavorazioni di semi e granaglie",2
32.12.10,"Fabbricazione di oggetti di gioielleria ed oreficeria in metalli preziosi o rivestiti di metalli preziosi",2
29.20.00,"Fabbricazione di carrozzerie per autoveicoli, rimorchi e semirimorchi",2
56.10.11,"Ristorazione con somministrazione",2
93.29.20,"Gestione di stabilimenti balneari: marittimi, lacuali e fluviali",1
86.90.11,"Laboratori radiografici",1
49.41.00,"Trasporto di merci su strada",1
43.21.01,"Installazione di impianti elettrici in edifici o in altre opere di costruzione (inclusa manutenzione e riparazione)",1
26.20.00,"Fabbricazione di computer e unit periferiche",1
86.21.00,"Servizi degli studi medici di medicina generale",1
55.20.51,"Affittacamere per brevi soggiorni, case ed appartamenti per vacanze, bed and breakfast, residence",1
63.12.00,"Portali web",1
63.11.20,"Gestione database (attivit delle banche dati)",1
77.33.00,"Noleggio di macchine e attrezzature per ufficio (inclusi i computer)",1
99.00.00,"Organizzazioni ed organismi extraterritoriali",1
96.02.02,"Servizi degli istituti di bellezza",1
56.30.00,"Bar e altri esercizi simili senza cucina",1
71.11.00,"Attivit degli studi di architettura",1
81.21.00,"Pulizia generale (non specializzata) di edifici",1
52.29.21,"Intermediari dei trasporti",1

