62.01,Produzione di software non connesso all'edizione,4
84.11.10,"Attivit degli organi legislativi ed esecutivi, centrali e locali; amministrazione finanziaria; amministrazioni regionali, provinciali e comunali",4
26.11.09,Fabbricazione di altri componenti elettronici,3
27.90.09,Fabbricazione di altre apparecchiature elettriche nca,3
72.20.00,Ricerca e sviluppo sperimentale nel campo delle scienze sociali e umanistiche,3
25.61.00,Trattamento e rivestimento dei metalli,2
25.62,Lavori di meccanica generale,2
25.9,FABBRICAZIONE DI ALTRI PRODOTTI IN METALLO,2
28.49.09,Fabbricazione di altre macchine utensili (incluse parti e accessori) nca,2
62.01.00,Produzione di software non connesso all'edizione,2
71.12.10,Attivit degli studi di ingegneria,2
72.19.09,Ricerca e sviluppo sperimentale nel campo delle altre scienze naturali e dell'ingegneria,2
85.42.00,Istruzione universitaria e post-universitaria; accademie e conservatori,1
