84.11.10,"Attivit degli organi legislativi ed esecutivi, centrali e locali; amministrazione finanziaria; amministrazioni regionali, provinciali e comunali",14
62.01,Produzione di software non connesso all'edizione,9
26.20,Fabbricazione di computer e unità periferiche,6
53.10,Attività postali con obbligo di servizio universale,6
62.01.00,Produzione di software non connesso all'edizione,6
26.30.29,Fabbricazione di altri apparecchi elettrici ed elettronici per telecomunicazioni,3
58.29,Edizione di altri software,3
70.22.09,Altre attivit di consulenza imprenditoriale e altra consulenza amministrativo-gestionale e pianificazione aziendale,3
72.19.09,Ricerca e sviluppo sperimentale nel campo delle altre scienze naturali e dell'ingegneria,3
31.09.20,"Fabbricazione di sedie e sedili (esclusi quelli per aeromobili, autoveicoli, navi, treni, ufficio e negozi)",2
46.31,Commercio all'ingrosso di frutta e ortaggi freschi o conservati,2
62.09.09,Altre attivit dei servizi connessi alle tecnologie dell'informatica nca,2
86.90.21,Fisioterapia,2
